Date,Close,Open
2000-12-07,33.1875,33.25
2000-12-08,33.25,33.9375
2000-12-11,32.9375,33.0
2000-12-12,33.1875,33.0
2000-12-13,32.75,33.5
2000-12-14,34.9375,33.5
2000-12-15,34.875,34.9375
2000-12-18,36.4375,35.0
2000-12-19,33.9375,36.375
2000-12-20,34.4375,33.75
2000-12-21,35.625,34.25
2000-12-22,37.375,35.578125
2000-12-26,36.0625,37.125
2000-12-27,37.1875,35.8125
2000-12-28,38.625,37.1875
2000-12-29,39.9375,39.0
2001-01-02,41.1875,40.0
2001-01-03,42.6875,40.875
2001-01-04,43.625,41.75
2001-01-05,41.3125,43.625
2001-01-08,41.9375,40.8125
2001-01-09,41.8125,42.0
2001-01-10,40.6875,41.0625
2001-01-11,41.3125,40.5625
2001-01-12,43.0625,41.375
2001-01-16,43.5625,43.25
2001-01-17,41.4375,43.875
2001-01-18,41.4375,41.875
2001-01-19,40.4375,41.4375
2001-01-22,42.25,41.0
2001-01-23,42.5,42.0
2001-01-24,42.9375,42.5
2001-01-25,43.1875,42.8125
2001-01-26,41.25,43.4375
2001-01-29,44.0625,41.875
2001-01-30,43.75,44.0
2001-01-31,46.25,43.75
2001-02-01,46.25,45.875
2001-02-02,43.9375,45.875
2001-02-05,43.1875,44.375
2001-02-06,43.75,43.0625
2001-02-07,45.25,43.75
2001-02-08,42.875,45.625
2001-02-09,41.3125,42.9375
2001-02-12,42.4375,41.6875
2001-02-13,42.9375,42.75
2001-02-14,43.6875,43.0
2001-02-15,42.8125,43.9375
2001-02-16,42.6875,41.875
2001-02-20,44.125,42.375
2001-02-21,42.0,43.8125
2001-02-22,41.875,42.0
2001-02-23,41.375,41.8125
2001-02-26,42.875,41.875
2001-02-27,43.0,42.875
2001-02-28,41.75,43.125
2001-03-01,40.3125,41.375
2001-03-02,38.6875,40.0625
2001-03-05,37.6875,38.875
2001-03-06,37.8125,38.125
2001-03-07,39.9375,38.125
2001-03-08,40.1875,40.1875
2001-03-09,39.375,39.75
2001-03-12,37.9375,39.125
2001-03-13,38.0625,38.125
2001-03-14,36.5,37.1875
2001-03-15,37.625,37.375
2001-03-16,37.125,36.609375
2001-03-19,38.1875,37.125
2001-03-20,39.5,39.1875
2001-03-21,38.375,39.1875
2001-03-22,37.25,38.6875
2001-03-23,37.0625,37.5625
2001-03-26,37.875,37.75
2001-03-27,37.9375,37.9375
2001-03-28,37.6875,37.6875
2001-03-29,37.9375,37.5
2001-03-30,39.25,37.9375
2001-04-02,36.1875,38.8125
2001-04-03,34.0625,36.625
2001-04-04,35.0,34.34375
2001-04-05,36.0,35.875
2001-04-06,35.5625,35.625
2001-04-09,34.790000915527344,36.09000015258789
2001-04-10,35.72999954223633,35.099998474121094
2001-04-11,36.27000045776367,36.099998474121094
2001-04-12,36.310001373291016,36.130001068115234
2001-04-16,34.970001220703125,36.25
2001-04-17,36.279998779296875,34.84000015258789
2001-04-18,38.36000061035156,36.849998474121094
2001-04-19,36.97999954223633,38.0099983215332
2001-04-20,36.54999923706055,36.65999984741211
2001-04-23,36.2400016784668,36.79999923706055
2001-04-24,34.279998779296875,33.290000915527344
2001-04-25,34.970001220703125,34.38999938964844
2001-04-26,34.779998779296875,35.0
2001-04-27,35.31999969482422,35.290000915527344
2001-04-30,34.93000030517578,35.7400016784668
2001-05-01,35.91999816894531,35.040000915527344
2001-05-02,36.040000915527344,35.93000030517578
2001-05-03,35.400001525878906,36.0
2001-05-04,35.869998931884766,34.83000183105469
2001-05-07,34.7400016784668,35.650001525878906
2001-05-08,34.77000045776367,35.0
2001-05-09,34.810001373291016,34.61000061035156
